"","libelle_rome","code_rome","fap2009_SansQualif_agreg","fap2009_AvecQualif_agreg"
"1","AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX","A",NA,NA
"2","Engins agricoles et forestiers","A11",NA,NA
"3","Opérateur / Opératrice d'épandage","A1101","A","Z"
"4","Débardeur / Débardeuse","A1101","A","Z"
"5","Conducteur / Conductrice de machines à vendanger","A1101","A","Z"
"6","Conducteur / Conductrice d'abatteuses","A1101","A","Z"
"7","Pilote de machines d'abattage","A1101","A","Z"
"8","Conducteur / Conductrice d'engins forestiers","A1101","A","Z"
"9","Conducteur / Conductrice de tracto-benne","A1101","A","Z"
"10","Débardeur forestier / Débardeuse forestière","A1101","A","Z"
"11","Tractoriste forestier / Tractoriste forestière","A1101","A","Z"
"12","Conducteur / Conductrice de pulvérisateur","A1101","A","Z"
"13","Conducteur / Conductrice d'épareuse","A1101","A","Z"
"14","Conducteur / Conductrice d'engins d'exploitation forestière","A1101","A","Z"
"15","Conducteur / Conductrice d'automoteur de récolte","A1101","A","Z"
"16","Tractoriste agricole","A1101","A","Z"
"17","Opérateur / Opératrice d'abatteuse","A1101","A","Z"
"18","Conducteur / Conductrice d'engins de débardage","A1101","A","Z"
"19","Conduite d'engins agricoles et forestiers","A1101","A","Z"
"20","Conducteur / Conductrice de tracteur","A1101","A","Z"
"21","Conducteur / Conductrice de tête d'abattage","A1101","A","Z"
"22","Chauffeur / Chauffeuse de machines agricoles","A1101","A","Z"
"23","Conducteur / Conductrice de matériels de semis","A1101","A","Z"
"24","Conducteur / Conductrice d'engins d'exploitation agricole","A1101","A","Z"
"25","Espaces naturels et espaces verts","A12",NA,NA
"26","Homme / Femme de pied","A1201","A","Z"
"27","Ehouppeur / Ehouppeuse","A1201","A","Z"
"28","Commis / Commise de coupe","A1201","A","Z"
"29","Bûcheronnage et élagage","A1201","A","Z"
"30","Arboriste","A1201","A","Z"
"31","Arboriste grimpeur / grimpeuse","A1201","A","Z"
"32","Elagueur / Elagueuse","A1201","A","Z"
"33","Charbonnier / Charbonnière","A1201","A","Z"
"34","Elagueur / Elagueuse espaces verts","A1201","A","Z"
"35","Bûcheron / Bûcheronne","A1201","A","Z"
"36","Elagueur-grimpeur / Elagueuse-grimpeuse","A1201","A","Z"
"37","Bûcheron élagueur / Bûcheronne élagueuse","A1201","A","Z"
"38","Elagueur-botteur / Elagueuse-botteuse","A1201","A","Z"
"39","Ouvrier / Ouvrière d'exploitation forestière","A1201","A","Z"
"40","Grimpeur-élagueur / Grimpeuse-élagueuse","A1201","A","Z"
"41","Agent / Agente d'entretien des rivières","A1202","A","Z"
"42","Agent / Agente d'entretien nature du littoral","A1202","A","Z"
"43","Agent / Agente d'entretien de la nature","A1202","A","Z"
"44","Agent / Agente d'aménagement des haies et fossés","A1202","A","Z"
"45","Agent / Agente d'entretien de l'espace rural","A1202","A","Z"
"46","Chef d'équipe d'entretien d'espaces naturels","A1202","A","Z"
"47","Entretien des espaces naturels","A1202","A","Z"
"48","Agent / Agente d'aménagement des circuits pédestres, équestres et Vtt","A1202","A","Z"
"49","Ouvrier / Ouvrière d'entretien des espaces naturels","A1202","A","Z"
"50","Agent / Agente d'entretien des espaces naturels","A1202","A","Z"
"51","Agent / Agente d'entretien nature et biodiversité","A1202","A","Z"
"52","Ouvrier / Ouvrière du paysage","A1203","A","Z"
"53","Manoeuvre des espaces verts","A1203","A","Z"
"54","Ouvrier / Ouvrière d'entretien des espaces verts","A1203","A","Z"
"55","Jardinier / Jardinière d'espaces verts","A1203","A","Z"
"56","Agent / Agente d'entretien des parcs et jardins","A1203","A","Z"
"57","Jardinier / Jardinière","A1203","A","Z"
"58","Jardinier / Jardinière paysagiste","A1203","A","Z"
"59","Aide jardinier / jardinière","A1203","A","Z"
"60","Ouvrier / Ouvrière des espaces verts","A1203","A","Z"
"61","Entretien des espaces verts","A1203","A","Z"
"62","Chef d'équipe paysagiste","A1203","A","Z"
"63","Chef d'équipe d'entretien des espaces verts","A1203","A","Z"
"64","Technicien / Technicienne paysagiste","A1203","A","Z"
"65","Ouvrier / Ouvrière paysagiste ","A1203","A","Z"
"66","Garde national / nationale de la chasse et de la faune sauvage","A1204","Z","G"
"67","Garde moniteur / monitrice de parc naturel","A1204","Z","G"
"68","Technicien / Technicienne cynégétique ","A1204","Z","G"
"69","Garde de parc naturel","A1204","Z","G"
"70","Garde-pêche","A1204","Z","G"
"71","Garde moniteur / monitrice de parc national","A1204","Z","G"
"72","Garde-chasse particulier / particulière","A1204","Z","G"
"73","Agent chargé / Agente chargée de protection et de sauvegarde du patrimoine naturel","A1204","Z","G"
"74","Agent / Agente technique des parcs nationaux","A1204","Z","G"
"75","Eco garde","A1204","Z","G"
"76","Garde-chasse","A1204","Z","G"
"77","Garde forestier / forestière","A1204","Z","G"
"78","Technicien / Technicienne de rivière","A1204","Z","G"
"79","Garde-rivière","A1204","Z","G"
"80","Garde du littoral","A1204","Z","G"
"81","Garde technicien / technicienne de réserve naturelle","A1204","Z","G"
